lat1000,long1000,longitude,latitude,geometry,in_man
40683,-74023,-74.023,40.683,POINT (-74.023 40.683),True
40684,-74024,-74.024,40.684,POINT (-74.024 40.684),True
40684,-74012,-74.012,40.684,POINT (-74.012 40.684),True
40685,-74026,-74.026,40.685,POINT (-74.026 40.685),True
40685,-74025,-74.025,40.685,POINT (-74.02500000000001 40.685),True
40685,-74024,-74.024,40.685,POINT (-74.024 40.685),True
40685,-74023,-74.023,40.685,POINT (-74.023 40.685),True
40685,-74022,-74.022,40.685,POINT (-74.02200000000001 40.685),True
40686,-74026,-74.026,40.686,POINT (-74.026 40.686),True
40686,-74025,-74.025,40.686,POINT (-74.02500000000001 40.686),True
40686,-74024,-74.024,40.686,POINT (-74.024 40.686),True
40686,-74023,-74.023,40.686,POINT (-74.023 40.686),True
40686,-74022,-74.022,40.686,POINT (-74.02200000000001 40.686),True
40686,-74021,-74.021,40.686,POINT (-74.021 40.686),True
40686,-74020,-74.02,40.686,POINT (-74.02 40.686),True
40686,-74019,-74.019,40.686,POINT (-74.01900000000001 40.686),True
40686,-74017,-74.017,40.686,POINT (-74.017 40.686),True
40686,-74009,-74.009,40.686,POINT (-74.009 40.686),True
40687,-74025,-74.025,40.687,POINT (-74.02500000000001 40.687),True
40687,-74024,-74.024,40.687,POINT (-74.024 40.687),True
40687,-74023,-74.023,40.687,POINT (-74.023 40.687),True
40687,-74022,-74.022,40.687,POINT (-74.02200000000001 40.687),True
40687,-74021,-74.021,40.687,POINT (-74.021 40.687),True
40687,-74020,-74.02,40.687,POINT (-74.02 40.687),True
40687,-74019,-74.019,40.687,POINT (-74.01900000000001 40.687),True
40687,-74018,-74.018,40.687,POINT (-74.018 40.687),True
40687,-74017,-74.017,40.687,POINT (-74.017 40.687),True
40687,-74006,-74.006,40.687,POINT (-74.006 40.687),True
40688,-74024,-74.024,40.688,POINT (-74.024 40.688),True
40688,-74023,-74.023,40.688,POINT (-74.023 40.688),True
40688,-74022,-74.022,40.688,POINT (-74.02200000000001 40.688),True
40688,-74021,-74.021,40.688,POINT (-74.021 40.688),True
40688,-74020,-74.02,40.688,POINT (-74.02 40.688),True
40688,-74019,-74.019,40.688,POINT (-74.01900000000001 40.688),True
40688,-74018,-74.018,40.688,POINT (-74.018 40.688),True
40688,-74017,-74.017,40.688,POINT (-74.017 40.688),True
40688,-74016,-74.016,40.688,POINT (-74.01600000000001 40.688),True
40688,-74015,-74.015,40.688,POINT (-74.015 40.688),True
40688,-74014,-74.014,40.688,POINT (-74.014 40.688),True
40688,-74007,-74.007,40.688,POINT (-74.00700000000001 40.688),True
40689,-74045,-74.045,40.689,POINT (-74.045 40.689),True
40689,-74044,-74.044,40.689,POINT (-74.044 40.689),True
40689,-74023,-74.023,40.689,POINT (-74.023 40.689),True
40689,-74022,-74.022,40.689,POINT (-74.02200000000001 40.689),True
40689,-74021,-74.021,40.689,POINT (-74.021 40.689),True
40689,-74020,-74.02,40.689,POINT (-74.02 40.689),True
40689,-74019,-74.019,40.689,POINT (-74.01900000000001 40.689),True
40689,-74018,-74.018,40.689,POINT (-74.018 40.689),True
40689,-74017,-74.017,40.689,POINT (-74.017 40.689),True
40689,-74016,-74.016,40.689,POINT (-74.01600000000001 40.689),True
40689,-74015,-74.015,40.689,POINT (-74.015 40.689),True
40689,-74014,-74.014,40.689,POINT (-74.014 40.689),True
40689,-74013,-74.013,40.689,POINT (-74.01300000000001 40.689),True
40689,-74006,-74.006,40.689,POINT (-74.006 40.689),True
40689,-74005,-74.005,40.689,POINT (-74.005 40.689),True
40690,-74047,-74.047,40.69,POINT (-74.047 40.69),True
40690,-74046,-74.046,40.69,POINT (-74.04600000000001 40.69),True
40690,-74045,-74.045,40.69,POINT (-74.045 40.69),True
40690,-74044,-74.044,40.69,POINT (-74.044 40.69),True
40690,-74022,-74.022,40.69,POINT (-74.02200000000001 40.69),True
40690,-74021,-74.021,40.69,POINT (-74.021 40.69),True
40690,-74020,-74.02,40.69,POINT (-74.02 40.69),True
40690,-74019,-74.019,40.69,POINT (-74.01900000000001 40.69),True
40690,-74018,-74.018,40.69,POINT (-74.018 40.69),True
40690,-74017,-74.017,40.69,POINT (-74.017 40.69),True
40690,-74016,-74.016,40.69,POINT (-74.01600000000001 40.69),True
40690,-74015,-74.015,40.69,POINT (-74.015 40.69),True
40690,-74014,-74.014,40.69,POINT (-74.014 40.69),True
40690,-74013,-74.013,40.69,POINT (-74.01300000000001 40.69),True
40690,-74004,-74.004,40.69,POINT (-74.004 40.69),True
40691,-74047,-74.047,40.691,POINT (-74.047 40.691),True
40691,-74046,-74.046,40.691,POINT (-74.04600000000001 40.691),True
40691,-74021,-74.021,40.691,POINT (-74.021 40.691),True
40691,-74020,-74.02,40.691,POINT (-74.02 40.691),True
40691,-74019,-74.019,40.691,POINT (-74.01900000000001 40.691),True
40691,-74018,-74.018,40.691,POINT (-74.018 40.691),True
40691,-74017,-74.017,40.691,POINT (-74.017 40.691),True
40691,-74016,-74.016,40.691,POINT (-74.01600000000001 40.691),True
40691,-74015,-74.015,40.691,POINT (-74.015 40.691),True
40691,-74014,-74.014,40.691,POINT (-74.014 40.691),True
40691,-74013,-74.013,40.691,POINT (-74.01300000000001 40.691),True
40691,-74002,-74.002,40.691,POINT (-74.002 40.691),True
40691,-74001,-74.001,40.691,POINT (-74.001 40.691),True
40692,-74020,-74.02,40.692,POINT (-74.02 40.692),True
40692,-74019,-74.019,40.692,POINT (-74.01900000000001 40.692),True
40692,-74018,-74.018,40.692,POINT (-74.018 40.692),True
40692,-74017,-74.017,40.692,POINT (-74.017 40.692),True
40692,-74016,-74.016,40.692,POINT (-74.01600000000001 40.692),True
40692,-74015,-74.015,40.692,POINT (-74.015 40.692),True
40692,-74014,-74.014,40.692,POINT (-74.014 40.692),True
40692,-74004,-74.004,40.692,POINT (-74.004 40.692),True
40692,-74003,-74.003,40.692,POINT (-74.003 40.692),True
40693,-74019,-74.019,40.693,POINT (-74.01900000000001 40.693),True
40693,-74018,-74.018,40.693,POINT (-74.018 40.693),True
40693,-74017,-74.017,40.693,POINT (-74.017 40.693),True
40693,-74016,-74.016,40.693,POINT (-74.01600000000001 40.693),True
40693,-74003,-74.003,40.693,POINT (-74.003 40.693),True
40693,-74002,-74.002,40.693,POINT (-74.002 40.693),True
40695,-74002,-74.002,40.695,POINT (-74.002 40.695),True
40695,-74001,-74.001,40.695,POINT (-74.001 40.695),True
40697,-74042,-74.042,40.697,POINT (-74.042 40.697),True
40697,-74041,-74.041,40.697,POINT (-74.041 40.697),True
40698,-74043,-74.043,40.698,POINT (-74.04300000000001 40.698),True
40698,-74042,-74.042,40.698,POINT (-74.042 40.698),True
40698,-74041,-74.041,40.698,POINT (-74.041 40.698),True
40698,-74000,-74.0,40.698,POINT (-74 40.698),True
40698,-73999,-73.999,40.698,POINT (-73.999 40.698),True
40699,-74042,-74.042,40.699,POINT (-74.042 40.699),True
40699,-74040,-74.04,40.699,POINT (-74.04000000000001 40.699),True
